Status,Population,State,City
active,"44,369",CO,Castle Rock
active,"6,558",PA,Catasauqua
active,"8,028",PA,Castle Shannon
active,"52,095",CA,Cathedral City
active,"6,607",OK,Catoosa
active,"5,428",AZ,Cave Creek
active,"12,646",SC,Cayce
active,"15,889",CO,Ca寸n City
active,"5,116",FL,Cedar Grove
active,"38,059",IA,Cedar Falls
active,"28,667",UT,Cedar City
active,"44,786",TX,Cedar Hill
active,"9,551",UT,Cedar Hills
active,"10,981",IN,Cedar Lake
active,"62,308",TX,Cedar Park
active,"11,101",WI,Cedarburg
active,"6,142",NY,Cedarhurst
active,"128,056",IA,Cedar Rapids
active,"10,123",GA,Cedartown
active,"5,557",TX,Celina
active,"10,255",OH,Celina
active,"15,408",AL,Center Point
active,"8,593",AR,Centerton
active,"99,680",CO,Centennial
active,"8,135",MI,Center Line
active,"5,746",TX,Center
active,"15,720",UT,Centerville
active,"18,683",RI,Central Falls
active,"5,442",IA,Centerville
active,"22,904",OH,Centerville
active,"5,698",KY,Central City
active,"7,240",GA,Centerville
active,"16,503",OR,Central Point
active,"15,710",WA,Centralia
active,"13,569",IL,Centralia
active,"5,635",IL,Centreville
active,"51,326",CA,Cerritos
active,"42,690",CA,Ceres
active,"5,429",NE,Chadron
active,"18,302",PA,Chambersburg
active,"11,202",GA,Chamblee
active,"79,389",IL,Champaign
active,"23,503",MN,Champlin
active,"247,140",AZ,Chandler
active,"23,480",MN,Chanhassen
active,"14,030",IL,Channahon
active,"52,542",NC,Chapel Hill
active,"8,843",KS,Chanute
active,"5,210",OH,Chardon
active,"4,549",PA,Charleroi
active,"4,419",IA,Chariton
active,"7,470",IA,Charles City
active,"4,765",WV,Charles Town
active,"50,302",WV,Charleston
active,"111,978",SC,Charleston
active,"21,715",IL,Charleston
active,"5,111",MO,Charleston
active,"7,324",IN,Charlestown
active,"8,984",MI,Charlotte
active,"41,487",VA,Charlottesville
active,"687,456",NC,Charlotte
active,"24,116",MN,Chaska
active,"8,212",NJ,Chatham
active,"170,880",TN,Chattanooga
active,"10,676",IL,Chatham
active,"7,361",WA,Chehalis
active,"4,942",MI,Cheboygan
active,"5,005",MI,Chelsea
active,"41,577",MA,Chelsea
active,"4,303",AL,Chelsea
active,"10,385",WA,Cheney
active,"5,427",SC,Cheraw
active,"4,697",IA,Cherokee
active,"4,778",AR,Cherokee Village
active,"5,627",NC,Cherryville
active,"36,564",PA,Chester
active,"6,045",SC,Chester
active,"6,355",CO,Cherry Hills Village
active,"220,111",VA,Chesapeake
active,"46,064",MO,Chesterfield
active,"12,705",IN,Chesterton
active,"7,835",IL,Chester
active,"4,899",MD,Chestertown
active,"7,871",NY,Chestnut Ridge
active,"8,385",OH,Cheviot
active,"6,372",MD,Cheverly
active,"56,915",WY,Cheyenne
active,"2,853,114",IL,Chicago
active,"30,586",IL,Chicago Heights
active,"13,366",IL,Chicago Ridge
active,"5,948",AL,Chickasaw
active,"17,062",OK,Chickasha
active,"83,791",CA,Chico
active,"54,941",MA,Chicopee
active,"6,513",TX,Childress
active,"5,901",IL,Chillicothe
active,"22,296",OH,Chillicothe
active,"8,706",MO,Chillicothe
